TIMESTAMP,TARGETVAR,U10,V10,U100,V100,v10,v100
20120101 1:00,0.0,2.12460013902668,-2.68196636902142,2.8642795922571302,-3.66607576475047,3.421530265146594,4.652333725724263
20120101 2:00,5.4879119673422885,2.52169465408196,-1.79696009092255,3.34485867183801,-2.4647614609441497,3.0964511132575487,4.15489212783262
20120101 3:00,11.023399807072401,2.67220985488329,-0.822516219753058,3.5084480169485803,-1.21409293517559,2.79593248135434,3.7125771564876198
20120101 4:00,16.5116055637106,2.4575043478578595,-0.14364229901696698,3.21523251256354,-0.3555464146675061,2.4616987487926227,3.2348312726985577
20120101 5:00,15.6940134185841,2.24589768320187,0.389576113004104,2.95767835330642,0.33270092236645193,2.2794354457266204,2.976331827159207
20120101 6:00,16.878112550668806,1.98603761593604,0.796304214825287,2.65540599936508,0.8826479670886209,2.1397303134884607,2.798258110909309
20120101 7:00,11.474485386142302,1.31978650650661,1.44068077823414,1.94670752158503,1.94132314588317,1.953816144761387,2.7492554867340826
20120101 8:00,8.542430227054679,-0.122060578816752,2.35890673375924,-0.23542716838471106,4.3238846522584105,2.362062607865373,4.330289186376526
20120101 9:00,15.318109067497794,-1.3801905808090702,2.9036242648893897,-3.0481450087114603,6.04152004736207,3.2149587728318583,6.7669160240696336
20120101 10:00,13.9272624528741,-1.7108813308049398,2.01393316048682,-4.21364833598713,4.87762817559306,2.642544550808049,6.44562556457528
20120101 11:00,8.38267061741016,-2.13498004365105,1.42577451272237,-5.47085226502028,3.7213292610490094,2.567288988002121,6.616533531602262
20120101 12:00,14.7824450015415,-2.34038902356817,0.61785492198437,-6.09520883130734,1.56492940916011,2.420571314020449,6.292898755970987
20120101 13:00,13.8708762688229,-2.21422186995528,0.098265095574062,-5.785577787101519,0.0984039565676574,2.2164012539241256,5.786414578067379
20120101 14:00,22.206559013338502,-2.13940696132168,-0.226265599282212,-5.605006849072889,-0.861562778302402,2.1513387152120425,5.6708369928177405
20120101 15:00,24.1048768649564,-2.0203228759818,-0.4553961948631521,-5.185561503997,-1.84593544710984,2.0710118825132824,5.5043188303942046
20120101 16:00,24.584154957312094,-1.75160897337472,-1.25139077319173,-3.6555199820804702,-4.63960135180796,2.1526989717181166,5.906668015310142
20120101 17:00,23.9075272726724,-0.978669148083164,-2.61467522756829,-1.48527240715337,-7.574821673342849,2.7918309130513466,7.719064548661044
20120101 18:00,25.345361970641303,-0.234061595883627,-3.57591640642736,0.0289196280396382,-8.86453969341122,3.58356846961572,8.864586866907509
20120101 19:00,30.2039274946328,0.24758704668064,-3.91194622039271,1.00592727392492,-9.025076503310393,3.9197732813172816,9.080963361396817
20120101 20:00,51.6022917269729,0.3715407414582089,-3.7266826347464095,1.24593378716673,-8.70617229986203,3.7451576712715,8.794872774343501
20120101 21:00,73.54571749462279,0.4313041300116789,-3.92046408639944,1.17517715000818,-8.1876817922147,3.944117379758484,8.27158838823992
20120101 22:00,61.892678717608305,0.522941325793667,-4.34465381353441,1.1429121234638795,-7.9099964994161285,4.376012384543939,7.992139434640522
20120101 23:00,81.5430868177201,1.03380762498407,-4.925572275193152,1.6767001941879902,-7.5856687550928,5.032893843866233,7.768763994560602
20120102 0:00,76.04548338127759,1.46808824847263,-5.20027345391007,2.25464040649904,-7.68817367762977,5.403529133885113,8.0119546840966
20120102 1:00,43.9244421492916,2.7925368709901,-5.81845342487003,4.176298938102351,-8.51067013365301,6.453887389257808,9.480136019290446
20120102 2:00,20.580771876763002,3.6904285811545496,-5.5042350743663295,5.44032012034341,-8.01332895354808,6.626904772703988,9.685583303528254
20120102 3:00,19.001972928757894,3.8939236775439694,-5.20566420565083,5.71488209845315,-7.58130060872065,6.500890818075002,9.493997910206657
20120102 4:00,80.34958863790109,3.76136810678831,-5.02170056841112,5.64909083200043,-7.419089222744549,6.274182547037091,9.324972499864844
20120102 5:00,75.5004215302918,3.59151861398519,-4.58610850782052,5.799840899226719,-7.16051463717869,5.825066282893771,9.214723236516294
20120102 6:00,37.6750293793242,2.89225757559527,-3.52588589044128,5.29008809458525,-6.34838700508054,4.5603755542719435,8.263597861388709
20120102 7:00,56.780376575478705,2.57120555101276,-3.19982620236813,5.12276070037875,-6.3869322849164405,4.104873409853278,8.187525951436912
20120102 8:00,27.422234054934503,3.20560759453754,-0.550326921203016,7.32961735461928,-1.31180377318902,3.252503615733201,7.446080828495558
20120102 9:00,15.468470786887195,2.9011756873892303,0.764061549006269,7.027599178698571,1.8178588090428895,3.000101734903041,7.258909068590106
20120102 10:00,9.52917945117919,2.19988780540976,1.11972458100305,5.65427124668175,2.9849242262966698,2.4684589309310017,6.393790422572887
20120102 11:00,8.74917749914293,1.78843855673395,1.98498803339951,4.44412637712638,5.08992478622412,2.6718326975976376,6.757040297740505
20120102 12:00,2.39521635684953,0.881223366057629,1.86868918227096,2.3559012190879702,4.9084407603300715,2.066047889285833,5.444544173001982
20120102 13:00,0.195294224692232,0.676106794796584,1.92874167994461,1.64514832481145,4.56849280622174,2.0438113577152044,4.85568116036563
20120102 14:00,5.94868901551234,0.207500556895856,1.90505900480571,0.792970109734995,3.93731384890881,1.9163262490774928,4.0163717382411495
20120102 15:00,2.38670004493282,-0.987121054776674,1.68430264011805,-0.8279816440487221,2.97582325744652,1.952250844612968,3.0888634904186425
20120102 16:00,0.0,-1.04589951887322,1.5121803404477798,-0.978731711275012,2.51327989941567,1.8386394931078784,2.6971265479139377
20120102 17:00,0.0,-1.17845508962887,1.4144893054998002,-1.01188636523543,2.5502191259250804,1.8410693614433693,2.743634743617206
